insertId,labels.execution_id,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo.granted,protoPayload.authorizationInfo.permission,protoPayload.authorizationInfo.resource,protoPayload.authorizationInfo.resourceAttributes,protoPayload.methodName,protoPayload.request.@type,protoPayload.request.function.availableMemoryMb,protoPayload.request.function.entryPoint,protoPayload.request.function.httpsTrigger,protoPayload.request.function.ingressSettings,"protoPayload.request.function.labels.""deployment-tool""",protoPayload.request.function.name,protoPayload.request.function.runtime,protoPayload.request.function.serviceAccountEmail,protoPayload.request.function.sourceUploadUrl,protoPayload.request.function.timeout,protoPayload.request.updateMask,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.requestMetadata.destinationAttributes,protoPayload.requestMetadata.requestAttributes.auth,protoPayload.requestMetadata.requestAttributes.time,protoPayload.resourceLocation.currentLocations,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-8770017f-1acd-4aca-8db7-75f87ca60f76,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,DEBUG,"Function execution took 4337 ms, finished with status code: 200",2020-12-02T22:46:58.714447670Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-b076b983-7daa-40cd-8d81-858132bdbcba,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,response from histogram iVBORw0KGgoAAAANSUhEUgAAAoAAAAHgCAYAAAA10dzkAAAAOXRFWHRTb2Z0d2FyZQBNYXRwbG90bGliIHZlcnNpb24zLjMuMywgaHR0cHM6Ly9tYXRwbG90bGliLm9yZy/Il7ecAAAACXBIWXMAAA9hAAAPYQGoP6dpAAA5nUlEQVR4nO3df1zV9f3//zugIKgHhgoHUkytVFLUzPDUdL6Viebbt761VsaSlm9957BWlPlhF2daK1q12WqmtXfT9p7O1pY1rfxZYiWaUSapY+osbHKgaYBYgMDz+0dvXt+OopnBORyet+vlci7xej6f5/V6vHgF3H2+fpwQY4wRAAAArBEa6AIAAADgXwRAAAAAyxAAAQAALEMABAAAsAwBEAAAwDIEQAAAAMsQAAEAACxDAAQAALAMARAAAMAyBEAAAADLEAABAAAsQwAEAACwDAEQAADAMgRAAAAAyxAAAQAALEMABAAAsAwBEAAAwDIEQAAAAMsQAAEAACxDAAQAALAMARAAAMAyBEAAAADLEAABAAAsQwAEAACwDAEQAADAMgRAAAAAyxAAAQAALEMABAAAsAwBEAAAwDIEQAAAAMsQAAEAACxDAAQAALAMARAAAMAyBEAAAADLEAABAAAsQwAEAACwDAEQAADAMgRAAAAAyxAAAQAALEMABAAAsAwBEAAAwDIEQAAAAMsQAAEAACxDAAQAALAMARAAAMAyBEAAAADLEAABAAAsQwAEAACwDAEQAADAMgRAAAAAyxAAAQAALEMABAAAsAwBEAAAwDIEQAAAAMsQAAEAACxDAAQAALBMu0AXEMwaGhp09OhRde7cWSEhIYEuBwAAnAdjjE6cOKHExESFhto5F0YA/BaOHj2qHj16BLoMAABwAY4cOaLu3bsHuoyAIAB+C507d5b05f9ALpcrwNUAAIDzUVlZqR49ejh/x21EAPwWGk/7ulwuAiAAAEHG5su37DzxDQAAYDECIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGXaBboANLOF0U20Vfi/DgAA0GoxAwgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgmTYRAB9++GGFhITozjvvdNqqq6uVlZWlLl26qFOnTpo6dapKS0t93ldcXKwJEyYoKipKcXFxmjt3rurq6vxcPQAAgH8FfQDctWuXnn76aaWkpPi033XXXVq7dq1eeOEF5eXl6ejRo5oyZYrTX19frwkTJqi2tlbbt2/Xc889pxUrVmjBggX+3gUAAAC/CuoAWFVVpYyMDP32t7/Vd77zHae9oqJCzz77rH71q19p9OjRGjp0qJYvX67t27drx44dkqSNGzdq3759+sMf/qDBgwdr/PjxeuCBB7RkyRLV1tYGapcAAABaXFAHwKysLE2YMEFpaWk+7QUFBTp16pRPe79+/ZSUlKT8/HxJUn5+vgYOHKj4+HhnTHp6uiorK7V3794mt1dTU6PKykqfFwAAQLBpF+gCLtTq1av13nvvadeuXWf0eb1ehYeHKyYmxqc9Pj5eXq/XGfPV8NfY39jXlNzcXC1atKgZqgcAAAicoJwBPHLkiH7yk59o5cqV6tChg9+2m5OTo4qKCud15MgRv20bAACguQRlACwoKFBZWZmuuOIKtWvXTu3atVNeXp6eeOIJtWvXTvHx8aqtrVV5ebnP+0pLS+V2uyVJbrf7jLuCG5cbx5wuIiJCLpfL5wUAABBsgjIAjhkzRoWFhdq9e7fzuvLKK5WRkeF83b59e23ZssV5T1FRkYqLi+XxeCRJHo9HhYWFKisrc8Zs2rRJLpdLycnJft8nAAAAfwnKawA7d+6sAQMG+LR17NhRXbp0cdpnzJih7OxsxcbGyuVy6fbbb5fH49Hw4cMlSWPHjlVycrJuvvlmPfLII/J6vZo/f76ysrIUERHh930CAADwl6AMgOdj8eLFCg0N1dSpU1VTU6P09HQ99dRTTn9YWJjWrVun2bNny+PxqGPHjsrMzNT9998fwKoBAABaXogxxgS6iGBVWVmp6OhoVVRUtJ7rARdGN9FW4f86AABopVrl328/C8prAAEAAHDhCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAlgnKALh06VKlpKTI5XLJ5XLJ4/Hotddec/pHjRqlkJAQn9dtt93ms47i4mJNmDBBUVFRiouL09y5c1VXV+fvXQEAAPC7doEu4EJ0795dDz/8sC699FIZY/Tcc89p0qRJev/993X55ZdLkmbOnKn777/feU9UVJTzdX19vSZMmCC3263t27erpKRE06dPV/v27fXQQw/5fX8AAAD8KSgD4MSJE32WH3zwQS1dulQ7duxwAmBUVJTcbneT79+4caP27dunzZs3Kz4+XoMHD9YDDzygefPmaeHChQoPD2/xfQAAAAiUoDwF/FX19fVavXq1Tp48KY/H47SvXLlSXbt21YABA5STk6PPP//c6cvPz9fAgQMVHx/vtKWnp6uyslJ79+71a/0AAAD+FpQzgJJUWFgoj8ej6upqderUSWvWrFFycrIk6aabblLPnj2VmJioPXv2aN68eSoqKtKLL74oSfJ6vT7hT5Kz7PV6z7rNmpoa1dTUOMuVlZXNvVsAAAAtLmgDYN++fbV7925VVFToz3/+szIzM5WXl6fk5GTNmjXLGTdw4EAlJCRozJgxOnTokPr06XPB28zNzdWiRYuao3wAAICACdoAGB4erksuuUSSNHToUO3atUu//vWv9fTTT58xNjU1VZJ08OBB9enTR263W++8847PmNLSUkk663WDkpSTk6Ps7GxnubKyUj169PjW+9IqLYxuoq3C/3UAAIBmF/TXADZqaGjwOT37Vbt375YkJSQkSJI8Ho8KCwtVVlbmjNm0aZNcLpdzGrkpERERzqNnGl8AAADBJihnAHNycjR+/HglJSXpxIkTWrVqlbZu3aoNGzbo0KFDWrVqla699lp16dJFe/bs0V133aWRI0cqJSVFkjR27FglJyfr5ptv1iOPPCKv16v58+crKytLERERAd47AACAlhWUAbCsrEzTp09XSUmJoqOjlZKSog0bNuj73/++jhw5os2bN+vxxx/XyZMn1aNHD02dOlXz58933h8WFqZ169Zp9uzZ8ng86tixozIzM32eGwgAANBWhRhjTKCLCFaVlZWKjo5WRUVF4E4HN3Wt3hljLuDaPa4BBAC0Ua3i73eAtZlrAAEAAHB+CIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAliEAAgAAWIYACAAAYBkCIAAAgGUIgAAAAJYhAAIAAFiGAAgAAGAZAiAAAIBlCIAAAACWIQACAABYhgAIAABgGQIgAACAZQiAAAAAlgnKALh06VKlpKTI5XLJ5XLJ4/Hotddec/qrq6uVlZWlLl26qFOnTpo6dapKS0t91lFcXKwJEyYoKipKcXFxmjt3rurq6vy9KwAAAH4XlAGwe/fuevjhh1VQUKB3331Xo0eP1qRJk7R3715J0l133aW1a9fqhRdeUF5eno4ePaopU6Y476+vr9eECRNUW1ur7du367nnntOKFSu0YMGCQO0SAACA34QYY0ygi2gOsbGxevTRR3XdddepW7duWrVqla677jpJ0t/+9jf1799f+fn5Gj58uF577TX9+7//u44ePar4+HhJ0rJlyzRv3jx9+umnCg8PP69tVlZWKjo6WhUVFXK5XC22b+e0MPo8xlQ0z3ovZD0AALQyreLvd4AF5QzgV9XX12v16tU6efKkPB6PCgoKdOrUKaWlpTlj+vXrp6SkJOXn50uS8vPzNXDgQCf8SVJ6eroqKyudWUQAAIC2ql2gC7hQhYWF8ng8qq6uVqdOnbRmzRolJydr9+7dCg8PV0xMjM/4+Ph4eb1eSZLX6/UJf439jX1nU1NTo5qaGme5srKymfYGAADAf4J2BrBv377avXu3du7cqdmzZyszM1P79u1r0W3m5uYqOjraefXo0aNFtwcAANASgjYAhoeH65JLLtHQoUOVm5urQYMG6de//rXcbrdqa2tVXl7uM760tFRut1uS5Ha7z7gruHG5cUxTcnJyVFFR4byOHDnSvDsFAADgB0EbAE/X0NCgmpoaDR06VO3bt9eWLVucvqKiIhUXF8vj8UiSPB6PCgsLVVZW5ozZtGmTXC6XkpOTz7qNiIgI59EzjS8AAIBgE5TXAObk5Gj8+PFKSkrSiRMntGrVKm3dulUbNmxQdHS0ZsyYoezsbMXGxsrlcun222+Xx+PR8OHDJUljx45VcnKybr75Zj3yyCPyer2aP3++srKyFBEREeC9AwAAaFlBGQDLyso0ffp0lZSUKDo6WikpKdqwYYO+//3vS5IWL16s0NBQTZ06VTU1NUpPT9dTTz3lvD8sLEzr1q3T7Nmz5fF41LFjR2VmZur+++8P1C4BAAD4TZt5DmAgtIrnCPEcQAAAvpFW8fc7wNrMNYAAAAA4PwRAAAAAyxAA,2020-12-02T22:46:58.713Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-3c322012-d076-4147-8909-54ef355d5ed7,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,sentences tokenized,2020-12-02T22:46:54.799Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000003-3c322012-d076-4147-8909-54ef355d5ed7,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,after dwnloading punkt,2020-12-02T22:46:54.537Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000002-3c322012-d076-4147-8909-54ef355d5ed7,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,ERROR,[nltk_data]   Package punkt is already up-to-date!,2020-12-02T22:46:54.537Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000001-3c322012-d076-4147-8909-54ef355d5ed7,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,ERROR,[nltk_data] Downloading package punkt to /tmp/nltk_data...,2020-12-02T22:46:54.537Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-3c322012-d076-4147-8909-54ef355d5ed7,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,text preporcessed,2020-12-02T22:46:54.537Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-46e73d9e-f452-43fb-a538-979181d967dd,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,inside sent word function,2020-12-02T22:46:54.382Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-4b1be0db-cff5-4bbd-890d-83d8c7c9cf87,x750bns6r38v,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:47:04.535046765Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:46:54.378446934Z,projects/cc-mapreduce/traces/d691040a844005746ff706b69a56c6f5
000000-fa6b1437-f666-4ceb-b9fe-a8dfcc005f46,x7506g3n03z1,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:40:26.141806761Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,DEBUG,"Function execution took 7 ms, finished with status code: 200",2020-12-02T22:40:15.459436409Z,projects/cc-mapreduce/traces/e7df2f9d8fac8c62c343cc030c35035a
000001-f4a0d1a8-182d-410a-ae95-1db5655dfe77,x7506g3n03z1,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:40:26.141806761Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,using cache,2020-12-02T22:40:15.456Z,projects/cc-mapreduce/traces/e7df2f9d8fac8c62c343cc030c35035a
000000-1ed71e1c-0edb-4111-8536-87504d5f609e,x7506g3n03z1,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:40:26.141806761Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,INFO,inside sent word function,2020-12-02T22:40:15.456Z,projects/cc-mapreduce/traces/e7df2f9d8fac8c62c343cc030c35035a
000000-a3915cc4-56e6-45a3-8217-ca6845f3d7e4,x7506g3n03z1,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:40:26.141806761Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,DEBUG,Function execution started,2020-12-02T22:40:15.452870348Z,projects/cc-mapreduce/traces/e7df2f9d8fac8c62c343cc030c35035a
000000-f333a00b-e7db-4057-8aed-1ec24e4c5c86,x750rp38v82t,projects/cc-mapreduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02T22:40:04.138236052Z,convert-sentence,cc-mapreduce,us-central1,cloud_function,DEBUG,"Function execution took 10838 ms, finished with status code: 200",2020-12-02T22:39:53.058422435Z,projects/cc-mapreduce/traces/6abeff2cecbcc3086a5031e5fa86c64c
